Product Name;Variations;Rating;Username;Date;Review
None;Variasi: GREEN,128GB;5;serbaadamagelamg;2024-10-15;None
None;Variasi: GOLD,256GB;5;oasiskw;2024-10-15;None
Kondisi Barang: barang sesuai dan puas bgt;Variasi: BLUE,128GB;5;abdulkadir1998;2024-10-15;None
None;Variasi: BLUE,128GB;5;estri34;2024-10-15;None
"Kondisi Barang: sungguh kejam reseler ini menipu hati hati yang lain ini pengalaman saya beli hp di sini pas pertama beli aman aja yang ke 2 nya ada kendala hp tiba"" mati pemakain 1 minggu udah tak bawah ke teknisi katanya kerusakan ic shot power terus aku chat admin nya katanya mau di ganti sebagian kalau penilainnya di rubah dan penilaiannya sudah 2x jadi gak bisa terpaksa admin mengahpus penilaian dan di wajib kan balas iya boleh kalau sudah penilainnya di hapus katanya mau di kembalikan dana sebagian setelah selesai proses nya ternyata admin menonaktifkan chat saya yang lain hati"" di sini reseler tidak tanggung jawab sama sekali.Warna: greyPermukaan: buruksungguh kejam reseler ini menipu hati hati yang lain ini pengalaman saya beli hp di sini pas pertama beli aman aja yang ke 2 nya ada kendala hp tiba"" mati pemakain 1 minggu udah tak bawah ke teknisi katanya kerusakan ic shot power terus aku chat admin nya katanya mau di ganti sebagian kalau penilainnya di rubah dan penilaiannya sudah 2x jadi gak bisa terpaksa admin mengahpus penilaian dan di wajib kan balas iya boleh kalau sudah penilainnya di hapus katanya mau di kembalikan dana sebagian setelah selesai proses nya ternyata admin menonaktifkan chat saya yang lain hati"" di sini reseler tidak tanggung jawab sama sekali.";Variasi: WHITE,64GB;1;wildaniphonepasuruan_;2024-10-15;None
Kondisi Barang: terkirim dengan baikWarna: greenPermukaan: mulussPaket ny terkirim dengan baik bagusss mulus makasih seller 🙏🏻;Variasi: GREEN,128GB;5;m*****u;2024-10-15;None
None;Variasi: BLACK,64GB;5;ichafaturene;2024-10-15;None
Kondisi Barang: bagusPermukaan: mulusKinerja: belum dicobaSaya coba dlu;Variasi: GRAY,64 GB;4;abhiemaidi;2024-10-14;None
None;Variasi: BLUE,64GB;4;rokhimatuljanahsiswanto;2024-10-14;None
Kondisi Barang: baikBarang sudah diterima dengan baik sesuai pesanan, fungsi normal semua mantab.  Mohon dibantu after sales nya klo ada kendala ya kak. Sukses terus lapaknya;Variasi: GREEN,128GB;5;y*****1;2024-10-14;None
None;Variasi: BLUE,128GB;5;ppk_p2k;2024-10-14;None
Kondisi Barang: normalWarna: niceKinerja: okKlo di bandingin layarnya dalam ke adaan mati sama hp Android aku yg harganya 2 jutawan udah amoled . Bagusan android deh... Gw tau layarnya gak ori.. Tapi gpplah udah beli ini.. Soalnya klo keadaaan mati keliatan layarnya gak pekat... Sedikit rada kecewa sih... But not bad lah.. Diliat dari harganya aja udah cukup.. Blum di masukin kartu.. Colokan SIM nya aku lupa naro... Ntr gw update lagi... Nice lah;Variasi: BLACK,128GB;4;emailkerjacok;2024-10-14;None
None;Variasi: BLACK,128GB;5;alfinasyahdan;2024-10-14;None
"Permukaan: sangat mulusKondisi Barang: mantap, all operator dengan sim stickernyaPerforma: performa sangat sesuaiUntuk kondisi sangat sesuai tapi sayang kondisi lcd rengang, karna lem adhesivenya gak di press jadi lcd kurang rapet, tapi untungnya saya teknisi jadi bongkar sendiri dah dan liat dalam iphonenya, kondisi mesin sangat bagus, kalau kita mengacu ke app triparty (3tools) skornya sempurna dengan skor 100%

Saya gak masalah dengan garansi toko yang penting unit aman
Apa lagi unit sudah saya bongkar untuk liat dalamanya jadi otomatis garansi void
NOTE : LCD BUKAN ORI
tapi overall untuk lcd yang di pasang adalah oled kualitas hampit setara dengan ori";Variasi: PINK,128GB SIM STIKER;5;winky69;2024-10-14;None
Kondisi Barang: mulus tapi layar screen ny kadng ghost touchReaal mntp kalli gacooor;Variasi: BLACK,128GB SIM STIKER;5;rizkyadytiaramadhan;2024-10-14;None
Batrei tidak sesuwai di keterangan, batrei nya suntikan di hp 100% pas di cek 71%;Variasi: BLACK,64GB;3;tika_hartika;2024-10-13;None
"Amanah
Barang mulus
Trimakasih, smoga awet buat kuliah anak";Variasi: WHITE,128GB SIM STIKER;5;solikhatun905;2024-10-13;None
None;Variasi: BLACK,64GB;5;bahtiyarray;2024-10-13;None
None;Variasi: BLACK,128GB;5;alfinasyahdan;2024-10-14;None
